Function,Parent_Selection,Survival_Selection,Combination,Generation,Average_BSF,Average_Avg_Fit
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,1,0.94676386,7.9529048
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,2,0.54528718,3.38001506
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,3,0.32245524,1.56086415
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,4,0.20652326,0.76629831
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,5,0.19112098,0.54436351
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,6,0.18679222,0.42380198
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,7,0.14937062,0.34999047
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,8,0.13453001,0.29335082
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,9,0.09265122,0.24807373
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,10,0.08588837,0.18364975
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,11,0.07245584,0.14302444
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,12,0.04990018,0.12062921
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,13,0.03114326,0.10342568
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,14,0.01610004,0.07578985
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,15,0.01579645,0.05319447
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,16,0.00586761,0.03227616
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,17,0.00488339,0.02293517
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,18,0.00395635,0.01536871
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,19,0.00346571,0.01076719
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,20,0.00294476,0.01240049
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,21,0.0026757,0.00898201
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,22,0.00241524,0.00788627
function_1_sphere,binary_tournament,binary_tournament,binary_tournament__binary_tournament,23,0.00208797,0.00928358
