Function,Parent_Selection,Survival_Selection,Combination,Generation,Average_BSF,Average_Avg_Fit
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,1,12.22797407,87.16056182
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,2,9.45451392,39.53275082
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,3,3.48327923,26.72405544
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,4,3.08151503,17.23494053
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,5,2.68667142,10.81091898
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,6,1.70913219,7.45492561
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,7,1.63010774,4.84011605
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,8,1.60712493,3.16125408
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,9,1.5294953,2.56370387
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,10,1.4721333,2.43220651
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,11,1.45268983,2.50734436
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,12,1.43789285,2.2828284
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,13,1.39397737,2.12856826
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,14,1.39317525,2.67651415
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,15,1.38807484,2.81728143
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,16,1.38796185,2.15961344
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,17,1.38726762,2.2386264
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,18,1.37837062,2.22620573
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,19,1.37837062,2.03299959
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,20,1.35269096,2.61423836
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,21,1.35251136,1.98376801
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,22,1.35251136,1.97088728
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,23,1.35250914,2.40624481
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,24,1.35250912,1.88188348
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,25,1.35250912,2.13944957
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,26,1.35250843,1.73408816
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,27,1.35250843,2.64899611
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,28,1.35250843,1.92424535
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,29,1.35250843,2.22111674
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,30,1.35250843,2.1875472
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,31,1.35250843,2.06901375
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,32,1.35250843,2.0929269
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,33,1.35250843,2.11635318
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,34,1.35250843,2.05878958
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,35,1.35250843,2.11611368
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,36,1.35250843,2.54463073
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,37,1.35250843,2.41987699
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,38,1.35250843,2.55555621
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,39,1.35250843,2.30479231
function_2_rosenbrock,binary_tournament,binary_tournament,binary_tournament__binary_tournament,40,1.35250843,2.54893568
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,1,3.42400232,35.14824719
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,2,1.15814151,9.00735808
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,3,0.92564529,3.97108837
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,4,0.88533153,2.15741563
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,5,0.60155979,1.1992954
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,6,0.59332202,0.90995419
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,7,0.5614224,0.72028295
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,8,0.56092521,0.61926106
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,9,0.56074227,0.59154835
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,10,0.56046585,0.58344783
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,11,0.52573968,0.56460785
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,12,0.52569142,0.54652478
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,13,0.52569118,0.53261857
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,14,0.52554289,0.52633104
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,15,0.43811562,0.51702785
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,16,0.43811562,0.51100358
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,17,0.43811561,0.49998759
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,18,0.43811561,0.46932939
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,19,0.43811561,0.45558325
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,20,0.43811561,0.44250187
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,21,0.43811561,0.43956412
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,22,0.43811561,0.43837204
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,23,0.43811561,0.43815032
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,24,0.43422091,0.43772614
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,25,0.42709778,0.43588712
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,26,0.42709778,0.43330532
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,27,0.40638902,0.42992501
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,28,0.40638902,0.42596657
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,29,0.40638902,0.41865601
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,30,0.40638902,0.41228769
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,31,0.32203306,0.39882418
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,32,0.32203306,0.39065972
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,33,0.32203306,0.36795898
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,34,0.32203306,0.33977198
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,35,0.32203306,0.32804338
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,36,0.3104348,0.32460324
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,37,0.3104348,0.3225881
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,38,0.3104348,0.32126772
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,39,0.3104348,0.32032441
function_2_rosenbrock,binary_tournament,truncation,binary_tournament__truncation,40,0.3104348,0.32002746
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,1,5.60397801,83.15131278
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,2,1.41233596,19.64428459
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,3,1.09720091,5.01601397
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,4,1.07739506,3.44164439
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,5,1.05336931,2.40219444
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,6,1.02237644,2.54705985
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,7,1.00945656,1.84299129
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,8,0.98092741,1.63350404
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,9,0.97997722,1.7471774
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,10,0.97997722,1.65292802
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,11,0.97995481,1.71128247
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,12,0.90277714,1.86422661
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,13,0.90277714,1.48197069
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,14,0.90277714,1.57067249
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,15,0.8397649,2.42863745
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,16,0.82725336,1.2974549
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,17,0.82725336,1.26257483
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,18,0.81361265,1.35848289
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,19,0.81361265,1.36097832
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,20,0.8128678,1.34474416
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,21,0.81282265,1.13155991
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,22,0.80737413,1.25472932
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,23,0.80135336,1.10723952
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,24,0.77362523,1.16018855
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,25,0.77362523,1.39118996
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,26,0.77362523,1.01712375
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,27,0.77362523,1.58243893
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,28,0.76978862,1.43050291
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,29,0.76708616,1.53659928
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,30,0.69878202,1.80867553
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,31,0.64717665,0.99099665
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,32,0.61918712,1.02658425
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,33,0.61918712,1.06548345
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,34,0.61703005,1.10569219
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,35,0.61703005,1.04359255
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,36,0.61675241,1.24241523
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,37,0.61609505,1.11410611
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,38,0.61609505,1.00246344
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,39,0.61601435,1.38317062
function_2_rosenbrock,fps,binary_tournament,fps__binary_tournament,40,0.61601284,1.14796328
function_2_rosenbrock,fps,truncation,fps__truncation,1,2.55064752,12.38579185
function_2_rosenbrock,fps,truncation,fps__truncation,2,1.1807969,3.65783145
function_2_rosenbrock,fps,truncation,fps__truncation,3,0.80804137,2.2998319
function_2_rosenbrock,fps,truncation,fps__truncation,4,0.62160317,1.44854243
function_2_rosenbrock,fps,truncation,fps__truncation,5,0.59390007,1.02152555
function_2_rosenbrock,fps,truncation,fps__truncation,6,0.56453087,0.76925155
function_2_rosenbrock,fps,truncation,fps__truncation,7,0.55288942,0.62885512
function_2_rosenbrock,fps,truncation,fps__truncation,8,0.54513526,0.5866121
function_2_rosenbrock,fps,truncation,fps__truncation,9,0.53490119,0.56417154
function_2_rosenbrock,fps,truncation,fps__truncation,10,0.52920158,0.54905416
function_2_rosenbrock,fps,truncation,fps__truncation,11,0.5291999,0.53890754
function_2_rosenbrock,fps,truncation,fps__truncation,12,0.52919729,0.53377629
function_2_rosenbrock,fps,truncation,fps__truncation,13,0.52919685,0.53131692
function_2_rosenbrock,fps,truncation,fps__truncation,14,0.5291968,0.53009892
function_2_rosenbrock,fps,truncation,fps__truncation,15,0.52919679,0.52962876
function_2_rosenbrock,fps,truncation,fps__truncation,16,0.52919516,0.52940334
function_2_rosenbrock,fps,truncation,fps__truncation,17,0.52919347,0.52929893
function_2_rosenbrock,fps,truncation,fps__truncation,18,0.52919346,0.52924707
function_2_rosenbrock,fps,truncation,fps__truncation,19,0.52919346,0.52922798
function_2_rosenbrock,fps,truncation,fps__truncation,20,0.52919346,0.52921767
